P01901859A0000|0 60|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P11056007A0224|180 184|rMTM
P10366503A1506|181 185|gp20
P10521509A0000|180 184|RGS7
P08710371A0000|176 179|p53
P09880544A0693|183 186|BTK
P09436706A0168|182 212|gonadotrophin-releasing hormone
P07909936A0672|184 209|colony-stimulating factors
P09371698A1254|181 197|SP1-binding sites
P09211981A0526|183 194|cdc2(kinase
P08524267A1022|181 191|myc mutants
P11254713A1029|180 188|IL-2 gene
P10652362A0933|181 189|clathrin
P02820128A1670|174 181|insulin
P11335116A1099|183 189|BmHR3A
P09211913A0000|183 189|CYP1A1
P09151837A0723|189 194|Rep78
P09287352A0930|184 187|MEK
P07563076A0766|179 182|bi4
P08584035A0740|179 181|R1
P08127950A0000|184 209|thyroid stimulating hormone
P02597549A0964|178 192|thromboplastin
P08605302A1770|173 185|CatA promoter
P02689439A0402|177 187|rat Yb2 gene
P06121577A0280|174 185|plasma renin
P10543727A0282|182 192|kappaB site
P10342536A0954|183 189|casein
P09335298A1227|178 184|parCBA
P02179815A0582|180 184|p68c
P10567430A0785|183 187|GRK5
P10212278A0387|188 192|MAPK
P10683244A0939|177 181|NBF2
P11207308A0999|190 194|JAK2
P09723896A0000|190 193|RXR
P11297545A0948|182 185|hGH
P11593394A0000|181 184|p15
P10597317A1156|179 182|JNK
P11333268A1521|176 179|Sos
P09584194A1305|178 181|p55
P08460918A0252|184 212|gamma-glutamyltranspeptidase
P10440923A0684|179 202|cyclin A-dependent kinase
P08986214A0000|183 200|alpha-fetoprotein
P02144610A1306|174 188|T alpha 1 element
P08676858A0309|180 193|T2-type RNases
P09010223A1850|179 187|Egr1 gene
P07969132A0268|183 191|gcn2-507
P08972182A0527|184 192|YVAD-CMK
P10376877A0611|180 187|18S rRNA
P10506143A0610|183 188|MEKK1
P07784199A0000|181 186|Abf1p
P09030781A0734|183 187|cdk4
P08086450A0467|182 186|AP-2
P02022188A0112|182 186|HMGs
P09369451A0693|183 187|OP-1
P09765411A0991|180 184|S27a
P08388543A1263|181 184|Ras
P09575143A1189|184 187|TCR
P10694210A0385|181 184|H1R
P10747053A1102|181 184|SBF
P09765261A0000|187 213|viral Tax-responsive element
P01713213A0000|183 204|protein tyrosine kinase
P07935383A0108|178 199|adenovirus L3 pre-mRNAs
P07628456A0000|179 200|dsRNA-dependent kinase
P09804836A0000|186 194|anti-Tyr
P08114745A0953|182 188|pol III
P08798420A0207|181 185|pp60
P11319098A0164|182 186|GalR
P10498616A0157|183 187|IL-4
P09259052A0568|182 186|JunB
P08876167A0717|181 185|p107
P11278583A0873|186 190|Grb2
P09388198A1396|180 184|rhoB
P01285009A0000|187 190|cBA
P10704499A0682|183 186|PKC
P11139605A0811|186 189|Sp1
P07537851A0891|185 188|p50
P08760286A0696|184 187|Rho
P07509449A0000|181 184|SH2
P08496601A1153|181 203|muMIP-1 alpha 5' promoter
P02686749A0000|182 203|retinol binding protein
P11145743A0170|183 202|deiodinase promoters
P08254738A0428|181 198|wild-type T antigen
P08475104A0341|179 195|p33cdk2 complexes
P01518849A0165|188 203|elastin peptides
P09680994A0169|182 194|Z. mays r genes
P11036938A1162|180 193|gonadotropins
P07959760A0763|179 188|ets family
P10367646A0569|184 191|albumin
P10671519A0641|184 190|emerin
P09473483A0953|179 185|HTLV-1
P09581834A2578|185 190|CDKIs
P01735721A0185|181 185|tyrZ
P08647086A0720|182 186|Cdk2
P10805738A0799|182 186|Gal4
P10918572A1547|187 191|ErbB
P09418905A1396|186 189|PKC
P10559364A0846|185 188|SSB
P11410664A0963|181 184|BER
P11408604A1440|183 205|receptor tyrosine kinase
P09111340A0240|183 203|human beta-globin gene
P03119227A0079|182 196|tyrosine kinase
P01721884A0962|180 192|E. coli RNase H
P07474124A1360|184 197|F glycoprotein
P08995652A0812|181 194|UL80.5 protein
P07623844A0639|184 196|wild-type p53
P09786932A1042|183 191|IFNA gene
P10702285A0855|190 197|insulin
P09725854A1060|184 190|orf107
P09398332A0732|184 190|CTLA-4
P09705324A1602|179 184|OCT-1
P06407348A0516|185 190|beta2
P11593394A0000|185 190|Ink4b
P10564495A0444|182 187|CD66d
P09209372A0345|186 191|AML1b
P11207261A1421|190 195|SHP-2
P07910946A0323|188 192|IL-2
P09584194A1305|182 186|HEF1
P10521509A0000|185 189|RGS9
P11007954A0170|184 187|Sos
P02038326A0538|183 186|43S
P10542269A0000|185 188|APP
P09880029A0703|183 185|C3
P09519830A0282|187 231|chloramphenicol acetyltransferase reporter gene
P07537267A2094|183 205|fetal gamma-globin genes
P03016506A0611|187 202|BamHI-C fragment
P08967963A1735|181 195|alpha2c-AR gene
P02997777A0609|186 198|top2 ts mutant
P09084174A0667|192 203|Asd proteins
P01387105A0933|186 195|Cycb1-rs9
P08253386A0800|183 190|U2 snRNP
P08231816A1473|187 194|IPNS tsp
P10021350A0093|191 199|Wingless
P02123467A0811|184 189|MyoD1
P11000521A0588|191 196|IRS-2
P07516466A1054|184 188|CREB
P11238916A0838|187 191|Pyk2
P02179815A0582|185 188|rel
P11373277A0812|188 191|E1A
P08584035A0740|183 185|R4
P09716179A0974|190 192|RB
P08798443A0660|183 210|mim-1A Myb-responsive element
P09197408A0126|185 206|C-terminal acidic alpha
P10721704X0000|185 204|RNA-binding proteins
P07796935A0284|187 206|T3-response elements
P01454518A0336|186 200|human ERCC3 cDNA
P11241215A0566|188 200|enterokinase
P09030781A0734|188 196|cyclin D1
P08624445A0257|182 190|Waxy gene
P09795213A0129|184 192|hTAFII68
P10498616A1280|188 194|p21 Ras
P07890599A0132|180 187|munc-18
P08615025A1214|187 192|gp160
P10400757A1498|184 189|HIV-1
P11207308A0999|195 199|JAK3
P06327039A0743|187 191|CD25
P08861955A0927|183 186|Ran
P09305944A0621|185 188|Ran
P11076860A0872|188 191|Kua
P01413984A0737|190 216|tissue plasminogen activator
P08396713A0305|188 210|90-kDa heat shock protein
P08334989A0070|184 206|luciferase reporter gene
P01313846A0850|187 205|poliovirus receptor
P07702752A0545|187 201|rat P450c17 gene
P08627649A0734|182 191|Sp1 family
P07518578A0000|189 198|pp60v-src
P06184487A1485|182 191|HindIII-A
P09566871A0343|186 193|Ty1 cDNA
P08208540A0417|184 191|ankyrin
P08276865A1188|189 195|p21ras
P07510635A0479|190 195|Pol II
P08798420A0207|186 192|v-)src
P10366503A1506|188 192|gp17
P08643578A0000|191 195|lacZ
P08636031A1413|185 188|Fur
P01581965A0388|182 185|GAP
P07453919A0000|195 198|IgM
P01547957A1083|185 209|CYP3-specific DNA fragment
P08144852A0000|189 208|11-beta-hydroxylase
P08207405A0372|188 198|HSP70 genes
P01716292A0000|186 193|DR alpha
P08647086A0720|187 195|cyclin-A
P10570996A1213|183 190|insulin
P11410664A0963|185 190|hOGG1
P03619249A0428|180 185|non-A
P08183915A0000|181 185|p105
P10805738A0799|187 191|MyoD
P10559364A0846|189 193|UL57
P10567430A0785|189 193|GRK6
P08111035A0098|189 192|GUS
P08152800A0357|183 186|ERM
P02038326A0538|187 190|48S
P10490609A0413|187 190|ARS
P10942587A0981|187 189|Rb
P01845885A1003|187 218|UL26 transcription initiation site
P07601445A0207|184 209|ATP-dependent RNA helicases
P11525640A0560|187 201|GADD45 promoter
P01633816A0667|183 193|S1 nuclease
P09651383A0967|187 192|HNF-4
P07948129A0297|188 216|neomycin phosphotransferase II
P07563090A0124|182 205|integrase coding sequence
P09211913A0000|192 206|erythropoietin
P02556264A0278|187 198|kappa B motif
P08327488A0839|186 198|wild-type p70
P09305870A0894|186 198|glycophorin C
P07509449A0000|187 199|SH3 sequences
P08626493A1468|187 198|wild type E1A
P11013079A0927|193 205|SV40 promoter
P08580083A0259|192 198|HIV LTR
P07799925A0526|187 193|p59fyn
P09649438A0182|188 194|P-TEFb
P11203702A1307|189 195|Xlim-1
P11076860A0872|192 195|UEV
P07816619A0872|191 194|Dr1
P07747462A0332|190 218|parvoviral replicator proteins
P08432137A0000|191 213|pleural interferon gamma
P09368190A1053|190 199|IFN-gamma
P08798610A0843|191 198|Cdc42Hs
P08376796A0172|187 194|insulin
P09524222A0769|186 192|MARCKS
P09233772A0136|190 194|RCC1
P08406004A0691|192 196|PU.1
P08761480A0331|191 194|RD1
P10080875A0772|193 196|p52
P09804836A0000|195 196|P
P10506143A0610|192 215|small GTP binding proteins
P02541251A1327|187 198|human T1 gene
P10026824A0309|191 201|V2 receptor
P01652755A1492|191 201|beta-actin
P10965905A1618|194 203|MAP kinase
P10760109A1050|185 195|hemoglobin
P00846559A0000|187 195|T-2 toxin
P08637006A0000|189 196|ATF site
P11212327A1564|192 200|caveolin
P03403480A0299|194 202|collagen
P11207308A0999|200 206|ERK1/2
P08533472A0777|196 201|ILF-2
P09736697A1107|190 195|Stat3
P06094591A0000|188 192|gp37
P09259052A0568|190 194|cJun
P11103792A0755|193 196|bax
P09990315A0205|190 193|PKC
P07807002A0500|182 185|IgE
P10400757A1498|189 192|Env
P08731222A0000|193 225|Phaseolus vulgaris leucoagglutinin
P11371417A0744|191 222|macrophage inflammatory protein-2
P11278870A0123|193 216|transcription factor Cuf1
P02269426A0428|190 210|full-length viral mRNA
P02307371A0263|195 207|c-myc alleles
P09192842A0988|192 201|ETS factor
P10082573A1015|186 192|DNase I
P08861955A0927|188 194|R-Ras2
P08798443A1218|193 198|c-Myb
P11145955A0189|197 201|MAPK
P09305755A0540|191 194|AP1
P10965135A0735|193 196|MKK
P09119031A1036|198 218|wild-type sigma factor
P08617238A0334|192 210|heat shock protein 27
P10021350A0093|200 218|Wnt responsive genes
P03109954A0945|198 212|HDL cholesterol
P08304342A0605|194 203|HLA-F loci
P07862150A0429|194 202|TGF-beta
P10521509A0000|193 198|RGS11
P10866689A0295|194 199|tal-1
P10713176A0422|194 197|E2F
P11221845A0800|191 216|C2H2-type zinc finger motifs
P07537851A0891|195 215|high-mobility-group I
P03033283A1415|195 211|NF1-binding sites
P09759865A0673|194 207|IkappaB-alpha
P11429702A0917|196 206|aFGF ligand
P02480959A0470|189 198|prolactin
P11565747A1020|194 202|P element
P09725854A1060|193 199|urf209
P10369418A0644|190 195|c-Rel
P10564280A0140|197 202|Sam68
P02998016A0527|190 195|c-mil
P08441411A1260|192 196|IL-2
P11387950X0001|195 198|TNF
P09254678A0106|194 197|MBP
P10564495A0444|191 194|NCA
P07720709A0755|197 200|AP1
P11593394A0000|194 197|p27
P10601290A0742|192 209|class I MHC-peptide
P10342536A0954|197 213|soy/pork collagen
P09079902A0713|185 194|12-kDa Ndk
P10091594A0284|195 204|anti-K159
P08760286A0696|195 202|GTPases
P07528772A0616|197 203|ZAP-70
P08917435A0481|195 200|PAI-1
P11560992A0000|199 203|JNKs
P09719636A1134|194 198|gp17
P09006051A1162|200 204|PrpD
P01918070A0281|193 196|T3R
P11292839A0531|190 193|TBP
P03296212A0603|190 193|IFN
P01645902A1462|188 190|TK
P10933728A1398|191 209|CBF1 binding element
P10543727A0282|196 210|kappaB2 element
P01644821A1259|195 205|PSG1-I gene
P07510635A0479|197 203|Pol III
P06184487A1485|192 199|EcoRI-C
P08717391A0466|195 200|HBcAg
P10704338A0354|194 197|p24
P09083291A1378|194 197|pRb
P11353774A0255|197 199|NR
P09765271A1108|199 239|insulin-like growth factor-binding protein 1
P10400712A0577|194 221|hemagglutinin-neuraminidase
P08288596A0663|194 215|TATA box binding protein
P07665567A0495|195 215|transcription factors
P08952965A1182|196 213|MHC contact regions
P08437521A0000|198 209|areA product
P11127200A1024|196 205|TGF-beta1
P11373277A0812|198 205|AP-2rep
P11102458A0000|196 202|PKA RII
P08057421A1583|196 202|Cp site
P07744763A0514|198 203|HNF-4
P08604338A0885|192 197|FLI-1
P09524229A0000|197 202|lac-1
P10713176A0422|198 202|p107
P10453006A0000|196 200|PSMB
P03985849A0221|196 199|IgA
P09305755A0540|195 198|AP2
P09233772A0136|196 227|guanine nucleotide exchange factor
P10559364A0846|198 223|UL112-113 accessory protein
P02651487A0000|196 203|insulin
P08449978A0000|197 204|cyclins
P01909027A0922|194 199|HNF-3
P11593394A0000|198 202|Kip1
P08119958A0273|191 195|PKCs
P09556573A1062|203 207|SMRT
P10669596A0430|197 201|Abc2
P08627649A0734|192 195|Sp1
P10229084A0000|204 207|Fyn
P02110148A0423|193 223|2.76-kb ClaI chromosomal fragment
P10570996A1213|193 214|insulin-like receptors
P09822602A0237|201 220|CREB-binding protein
P07936640A0900|192 206|endogenous gene
P08769132A0000|196 209|MSH-2 proteins
P09512416A0460|200 212|7TM receptors
P01716292A0000|195 204|H-2E alpha
P11292839A0531|193 202|wild-type
P10564495A0444|195 200|CD66c
P08861955A0927|195 199|TC21
P08794339A1162|193 197|CREB
P09030781A0734|199 203|cdk6
P01536153A0574|195 198|IgE
P08986214A0000|201 204|AFP
P09488441A0615|202 205|Sp1
P01384229A0175|197 229|chloramphenicol acetyl transferase
P01326329A0703|193 223|glucocorticoid response elements
P08732665A0000|204 228|insulin-like growth factor
P11376946A0000|200 223|tissue-specific promoter
P09561560A0579|195 209|HIV1 Nef peptide
P00429949A0000|201 215|human prolactin
P01539996A0588|193 205|E. coli enzyme
P03149774A0173|201 213|GABA receptor
P11014213A1019|203 210|ERalpha
P09402139A1121|208 215|IGFBP-1
P10359014A1077|198 202|MAPK
P08466864A0878|199 203|PU-1
P07616569A0168|197 201|rrn5
P07585559A0000|210 213|ras
P07038684A1050|199 202|p62
P09328824A0000|199 201|TR
P08835969A0000|202 228|human chorionic gonadotropin
P09333026A0851|200 221|epidermal growth factor
P02518691A0251|200 213|IL2R alpha gene
P01310154A0879|203 213|FBR protein
P07656588A0101|197 204|D19S412
P02806916A0000|199 205|oc cDNA
P02185140A0000|205 210|pADC1
P10517672A1417|203 206|CAT
P09677410A1059|198 201|p53
P11532856A1175|204 207|JNK
P01581965A0388|195 207|small GTPases
P07440430A1074|185 195|hemoglobin
P09254678A0106|200 208|PLP mRNAs
P09233809A0381|203 208|Hnf3g
P08067123A0248|195 200|HBsAg
P10765095A0308|200 203|PRL
P03280807A1447|207 222|wild-type SUF12+
P01380454A0451|200 209|NF-kappa B
P09339900A0939|197 205|cyclin D2
P01543909A0787|201 209|ferritin
P08637711A1121|203 210|JRE-IL6
P08361761A0174|202 207|v-Rel
P11012680A1020|201 205|ERK2
P11207308A0999|210 213|p38
P11538437A0568|192 194|N2
P02183467A0668|199 200|W
P11416012A2511|206 233|phophatidylinositol 3-kinase
P09418040T0000|201 216|recombinant CHL D
P07683375A0000|199 213|protein kinases
P11593394A0000|203 215|cyclin kinase
P06184487A1485|200 210|SstI-G cDNA
P08892755A0981|200 210|pCAT-Basic
P09030781A0734|204 212|cyclin D2
P08552092A1678|199 207|rep3 gene
P02998016A0527|198 203|v-mil
P11565747A1020|202 206|IVS3
P10454570A0846|205 209|IL-1
P10369418A0644|198 201|p65
P09736697A1107|200 203|Jak
P11416012T0000|209 239|mitogen-activated protein kinase
P02144610A1306|193 214|human TCR alpha enhancer
P07744846A1006|204 223|NH2-terminal A domain
P03332022A1094|200 214|protein kinase C
P10669594A0000|206 221|metalloprotease
P09393875A0873|201 211|Fos protein
P09242375A1313|203 208|MEN2A
P10414451A0093|204 209|ATIII
P10194451A0000|208 212|p210
P07628456A0000|201 204|PKR
P10413676A0595|201 204|FAK
P10679065A0711|209 242|CREB serine 133 phosphoacceptor motif
P02166040A0385|205 239|amino-3-glycosyl phosphotransferase
P07483276A0139|204 225|varicella-zoster virus
P01970560A1024|206 225|E. coli TyrR repressor
P11226752A0750|203 214|human Notch1
P10359663A0425|201 208|oIFNtau
P01847464A0856|206 211|c-myc
P08940132A1120|205 210|CPP32
P07609079A0387|202 205|Tat
P09057648A0422|206 209|CAT
P07616569A0168|202 205|srn
P08627649A0734|198 201|Sp3
P01826043A0431|206 236|Ca2(+)-dependent protein kinases
P09328824A0000|204 225|retinoic acid receptors
P02123877A1452|203 222|immediate-early gene
P07914192A0211|202 219|human HER2 promoter
P07737944A0000|203 217|erythropoietin
P08955402A0288|203 214|Hol1 protein
P08792217A1407|202 212|TIMP-2 mRNA
P10194762A0648|208 214|STAT5a
P09864335A1226|201 206|Fcr1p
P11238105A0959|206 210|CD86
P07796935A0284|207 211|TREs
P08288633A0144|207 210|Bcr
P08212571A0971|201 204|tat
P10899142A0000|209 212|LGR
P01409643A0618|205 232|TATA element modulatory factor
P07890599A0132|202 228|Caenorhabditis elegans unc18
P08641705A0986|200 211|Hb Costa Rica
P10078876A0000|211 221|hemoglobin
P07742363A0135|209 214|eIF-2
P02196565A0606|206 210|GRFI
P02185140A0000|211 215|pGPD
P07926749A0471|203 207|RORE
P08016102A1238|201 205|HO-1
P10549354A1782|207 210|APC
P08127950A0000|210 213|TSH
P09599897A0000|209 212|CRP
P11289135A0975|210 247|mitogen-activated protein kinase kinase 1
P09098066A0119|209 237|cytadherence-regulatory locus
P08395681A0388|204 225|retinoblastoma protein
P11574105A0727|202 213|anti-GM1 IgG
P09045919A1250|203 211|IgH locus
P07731898A0823|208 213|SOD-1
P10848993A0000|209 212|amk
P09858713A1174|204 207|CiD
P09435056A0128|202 205|MBP
P07007591A0324|203 205|RT
P02183467A0668|203 204|Y
P02666404A0220|210 252|Escherichia coli xylose and arabinose permeases
P10080875A0772|209 221|AP-1 proteins
P08702845A0000|212 222|mutant DATs
P09243505A1194|204 214|MADS domain
P10702285A0855|214 224|G(q)/Q209L
P02651487A0000|206 214|glucagon
P11292839A0531|203 208|TBPwt
P10597317A1156|204 208|LMP1
P08668158A0765|203 215|tRNA met f gene
P09590540A0513|209 220|lac operator
P07547510A0261|206 215|LF-H3 beta
P09111314A1243|211 219|cyclin D1
P08709245A1521|206 211|HDAgs
P07789971A0758|208 213|GSTT2
P09351242A0719|211 232|aba1 Arabidopsis mutant
P11014215A1092|208 226|human GnRHR promoter
P08898866A0458|208 224|N-terminal domain
P07610052A1064|203 217|rat APP promoter
P10669596A0430|210 224|RecBCD nuclease
P02761537A0168|201 208|28S rRNA
P10544089A1208|214 220|MP gene
P10899142A0000|213 219|DLGR-2
P11118438A0411|205 209|Pin1
P09420239A1937|204 206|SU
P10366503A1506|212 228|terminase regions
P08700531A1420|211 222|cph oncogene
P10549354A1782|211 219|GSK3 beta
P08943354A0295|209 214|SHP-1
P11137296A0923|215 220|PFK-A
P02196565A0606|211 215|RAP1
P08719155A0105|213 217|TRAP
P10942587A0981|211 228|anti-E7 antibodies
P11054565A0654|207 216|p190 genes
P10359663A0425|209 217|SV40-CAT
P09169127A0371|207 213|y5 gene
P02185140A0000|216 221|pPHO5
P10764802A1258|212 215|p57
P11274357A0724|209 215|nm23H1
P09242375A1313|211 216|MEN2B
P08076631A0000|214 219|U2-Os
P09535082A0537|205 209|PrfA
P01380454A0451|210 213|Myb
P09111340A0240|210 251|bacterial chloramphenicol acetyltransferase
P01448917A0775|208 229|32K proteinase cofactor
P11014213A1019|216 233|DNA-binding domain
P07622521A0418|206 216|G beta gamma
P08617238A0334|211 216|hsp27
P07563090A0124|206 210|PPT2
P03619249A0428|205 220|anti non-A non-Bc
P11335116A1099|216 226|BmGATAbeta
P01452037A0000|220 229|gap operon
P09800187A0100|210 215|Trp53
P11373277A0812|216 221|CtBP1
P10430883A0000|217 221|Con A
P08686381A0527|219 223|Swi3
P11103792A0755|215 218|bax
P11158337A0000|218 239|steroidogenic factor-1
P11040101A1180|214 230|Sp1-binding sites
P08441379A0912|211 219|IL-1 beta
P09501982A1178|217 225|X-ngnr-1
P01313715A0461|212 219|p47phox
P07935447A0972|210 216|MLC-2v
P10506143A0610|215 219|Rac1
P11042199A0572|217 221|CREB
P10764802A1258|216 220|Kip2
P08952965A1182|214 218|CDR1
P02196565A0606|216 219|TUF
P10413676A0595|213 216|FAK
P10574913A1108|224 227|ERK
P08496601A1153|211 241|human growth hormone reporter gene
P01413984A0737|219 238|von Willebrand factor
P08483479A1056|213 225|collagen gene
P07731898A0823|216 224|catalase
P09382924A0131|222 227|PSMB6
P10318806A0918|222 227|SHP-2
P08631667A0851|210 213|tmk
P02473619A0202|220 233|IgE antibodies
P10358080A1114|214 225|HSF1 monomer
P07665567A0495|216 225|NF-kappa B
P02418701A0000|219 229|peroxidase
P08615025A1214|217 222|gp120
P09053494A0612|211 216|G-CSF
P09195923A0125|218 223|hsp90
P11137296A0923|221 226|PFK-B
P07528746A1049|218 222|RHL1
P07696183A0567|214 217|Rak
P11145955A0189|221 223|E2
P07908827A1200|212 232|RAR responsive element
P10681588A0899b|213 222|CCAAT-box
P10681588A0899a|213 222|CCAAT-box
P11152451A1580|218 226|TGF-beta
P11108720A0124|213 217|S6K2
P10669594A0000|221 225|gp63
P10692374A1873|216 219|PAN
P09111314A1243|220 223|cdk
P07948129A0297|217 220|NEO
P09822602A0237|221 224|CBP
P11000521A0588|224 252|phosphatidylinositol 3-kinase
P10790390X0000|218 241|gypsy insulator sequences
P09880544A0693|223 244|wild-type human btk gene
P07538818A0197|221 238|IL-3)-dependent Ba
P01321337A0318|218 235|bovine calcineurin
P11226752A0750|216 225|human DTX1
P09303437A0875|217 224|CAT gene
P11532856A1175|220 225|HIF-1
P07797583A0222|215 219|DREF
P10640683A0670|220 223|PKN
P09447962A1027|217 234|wild-type HIS4 mRNA
P10807903A0362|221 234|wt D1 receptors
P07796935A0284|221 225|DR + 4
P09418040T0000|217 221|CHL H
P07983715A0996|217 239|luciferase reporter gene
P09400613A0594|227 231|Gal4
P02342477A1292|223 227|UfAP
P07609079A0387|218 221|Tat
P11181516A0119|224 226|A2
P02536096A0327|221 257|chloramphenicol acetyltransferase gene
P09651383A0967|217 227|apoCII gene
P08516324A0000|224 232|FLI1 gene
P10080875A0772|222 227|c-Fos
P09781871A0404|226 230|HrpN
P01406677A0000|224 245|firefly luciferase gene
